variant,algo,train_seed,eval_mode,episode,seed,return_total,steps,terminated,truncated,termination_reason,animal_status,is_success,animal_lost,battery_depleted,final_battery,battery_spent,barriers_installed,effective_barriers_installed,pickup_step,delivery_step
tuned,a2c,42,deterministic,71,50071,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,72,50072,-25.0,45,True,False,success,saved,True,False,False,85,15,0,0,5,45
tuned,a2c,42,deterministic,73,50073,-36.0,56,True,False,success,saved,True,False,False,85,15,0,0,5,56
tuned,a2c,42,deterministic,74,50074,-25.0,45,True,False,success,saved,True,False,False,85,15,0,0,5,45
tuned,a2c,42,deterministic,75,50075,-25.0,45,True,False,success,saved,True,False,False,85,15,0,0,5,45
tuned,a2c,42,deterministic,76,50076,-23.0,43,True,False,success,saved,True,False,False,85,15,0,0,5,43
tuned,a2c,42,deterministic,77,50077,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,78,50078,-23.0,43,True,False,success,saved,True,False,False,85,15,0,0,5,43
tuned,a2c,42,deterministic,79,50079,-35.0,55,True,False,success,saved,True,False,False,85,15,0,0,5,55
tuned,a2c,42,deterministic,80,50080,-5.0,25,True,False,success,saved,True,False,False,85,15,0,0,5,25
tuned,a2c,42,deterministic,81,50081,-47.0,67,True,False,success,saved,True,False,False,85,15,0,0,5,67
tuned,a2c,42,deterministic,82,50082,-31.0,51,True,False,success,saved,True,False,False,85,15,0,0,5,51
tuned,a2c,42,deterministic,83,50083,-47.0,67,True,False,success,saved,True,False,False,85,15,0,0,5,67
tuned,a2c,42,deterministic,84,50084,-40.0,60,True,False,success,saved,True,False,False,85,15,0,0,5,60
tuned,a2c,42,deterministic,85,50085,-25.0,45,True,False,success,saved,True,False,False,83,17,0,0,5,45
tuned,a2c,42,deterministic,86,50086,-17.0,37,True,False,success,saved,True,False,False,85,15,0,0,5,37
tuned,a2c,42,deterministic,87,50087,-49.0,69,True,False,success,saved,True,False,False,85,15,0,0,5,69
tuned,a2c,42,deterministic,88,50088,-32.0,52,True,False,success,saved,True,False,False,85,15,0,0,5,52
tuned,a2c,42,deterministic,89,50089,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,90,50090,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,91,50091,-45.0,65,True,False,success,saved,True,False,False,85,15,0,0,5,65
tuned,a2c,42,deterministic,92,50092,-13.0,33,True,False,success,saved,True,False,False,85,15,0,0,5,33
tuned,a2c,42,deterministic,93,50093,-33.0,53,True,False,success,saved,True,False,False,83,17,0,0,5,53
tuned,a2c,42,deterministic,94,50094,-39.0,59,True,False,success,saved,True,False,False,85,15,0,0,5,59
tuned,a2c,42,deterministic,95,50095,-8.0,28,True,False,success,saved,True,False,False,85,15,0,0,5,28
tuned,a2c,42,deterministic,96,50096,-32.0,52,True,False,success,saved,True,False,False,85,15,0,0,5,52
tuned,a2c,42,deterministic,97,50097,-28.0,48,True,False,success,saved,True,False,False,85,15,0,0,5,48
tuned,a2c,42,deterministic,98,50098,-18.0,38,True,False,success,saved,True,False,False,85,15,0,0,5,38
tuned,a2c,42,deterministic,99,50099,-28.0,48,True,False,success,saved,True,False,False,85,15,0,0,5,48
tuned,a2c,42,stochastic,0,50000,-38.0,58,True,False,success,saved,True,False,False,85,15,0,0,5,58
tuned,a2c,42,stochastic,1,50001,-8.0,28,True,False,success,saved,True,False,False,85,15,0,0,5,28
tuned,a2c,42,stochastic,2,50002,-41.0,61,True,False,success,saved,True,False,False,85,15,0,0,5,61
tuned,a2c,42,stochastic,3,50003,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,stochastic,4,50004,-72.0,92,True,False,success,saved,True,False,False,85,15,0,0,5,92
tuned,a2c,42,stochastic,5,50005,-29.0,49,True,False,success,saved,True,False,False,85,15,0,0,5,49
tuned,a2c,42,stochastic,6,50006,-5.0,25,True,False,success,saved,True,False,False,85,15,0,0,5,25
tuned,a2c,42,stochastic,7,50007,-3.0,23,True,False,success,saved,True,False,False,85,15,0,0,5,23
tuned,a2c,42,stochastic,8,50008,-18.0,38,True,False,success,saved,True,False,False,85,15,0,0,5,38
tuned,a2c,42,stochastic,9,50009,-6.0,26,True,False,success,saved,True,False,False,85,15,0,0,5,26
tuned,a2c,42,stochastic,10,50010,-49.0,69,True,False,success,saved,True,False,False,85,15,0,0,5,69
tuned,a2c,42,stochastic,11,50011,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,stochastic,12,50012,-5.0,25,True,False,success,saved,True,False,False,85,15,0,0,5,25
tuned,a2c,42,stochastic,13,50013,-39.0,59,True,False,success,saved,True,False,False,85,15,0,0,5,59
tuned,a2c,42,stochastic,14,50014,-40.0,60,True,False,success,saved,True,False,False,85,15,0,0,5,60
tuned,a2c,42,stochastic,15,50015,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,42,stochastic,16,50016,-31.0,51,True,False,success,saved,True,False,False,85,15,0,0,5,51
tuned,a2c,42,stochastic,17,50017,-24.0,44,True,False,success,saved,True,False,False,85,15,0,0,5,44
tuned,a2c,42,stochastic,18,50018,-60.0,80,True,False,success,saved,True,False,False,85,15,0,0,5,80
tuned,a2c,42,stochastic,19,50019,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,stochastic,20,50020,-41.0,61,True,False,success,saved,True,False,False,85,15,0,0,5,61
tuned,a2c,42,stochastic,21,50021,-20.0,40,True,False,success,saved,True,False,False,85,15,0,0,5,40
tuned,a2c,42,stochastic,22,50022,-41.0,61,True,False,success,saved,True,False,False,85,15,0,0,5,61
tuned,a2c,42,stochastic,23,50023,-23.0,43,True,False,success,saved,True,False,False,85,15,0,0,5,43
tuned,a2c,42,stochastic,24,50024,-13.0,33,True,False,success,saved,True,False,False,85,15,0,0,5,33
tuned,a2c,42,stochastic,25,50025,-21.0,41,True,False,success,saved,True,False,False,85,15,0,0,5,41
