variant,algo,seed,step,return_smooth
tuned,a2c,2024,87521,77.80000000000001
tuned,a2c,2024,92552,77.68666666666667
tuned,a2c,2024,97582,76.44
tuned,a2c,2024,102612,75.76388888888869
tuned,a2c,2024,107642,76.96
tuned,a2c,2024,112672,74.16
tuned,a2c,2024,117703,79.84
tuned,a2c,2024,122733,79.94
tuned,a2c,2024,127763,79.75999999999999
tuned,a2c,2024,132793,76.91999999999999
tuned,a2c,2024,137824,79.97999999999999
tuned,a2c,2024,142854,79.98
tuned,a2c,2024,147884,77.24000000000001
tuned,a2c,2024,152914,77.18
tuned,a2c,2024,157944,77.24
tuned,a2c,2024,162975,79.70899470899464
tuned,a2c,2024,168005,75.96833333333305
tuned,a2c,2024,173035,79.0
tuned,a2c,2024,178065,79.84
tuned,a2c,2024,183096,76.94
tuned,a2c,2024,188126,80.0
tuned,a2c,2024,193156,77.08
tuned,a2c,2024,198186,79.92
tuned,a2c,2024,203216,79.98
tuned,a2c,2024,208247,79.62
tuned,a2c,2024,213277,76.17166666666643
tuned,a2c,2024,218307,79.18666666666651
tuned,a2c,2024,223337,79.13999999999999
tuned,a2c,2024,228368,79.87999999999975
tuned,a2c,2024,233398,75.94822222222155
tuned,a2c,2024,238428,72.22
tuned,a2c,2024,243458,79.98916666666665
tuned,a2c,2024,248488,71.69999999999999
tuned,a2c,2024,253519,79.76
tuned,a2c,2024,258549,79.8854761904761
tuned,a2c,2024,263579,79.79999999999998
tuned,a2c,2024,268609,79.86
tuned,a2c,2024,273640,79.62
tuned,a2c,2024,278670,78.32000000000001
tuned,a2c,2024,283700,79.9
tuned,a2c,2024,288730,79.42
tuned,a2c,2024,293760,79.69999999999999
tuned,a2c,2024,298791,79.88
tuned,a2c,2024,303821,73.96000000000001
tuned,a2c,2024,308851,79.8
tuned,a2c,2024,313881,79.96000000000001
tuned,a2c,2024,318912,77.14
tuned,a2c,2024,323942,77.5
tuned,a2c,2024,328972,80.0
tuned,a2c,2024,334002,79.63999999999999
tuned,a2c,2024,339032,80.0
tuned,a2c,2024,344063,79.92
tuned,a2c,2024,349093,79.98
tuned,a2c,2024,354123,79.78
tuned,a2c,2024,359153,79.39999999999999
tuned,a2c,2024,364184,76.3
tuned,a2c,2024,369214,80.0
tuned,a2c,2024,374244,79.62444444444438
tuned,a2c,2024,379274,79.75999999999999
tuned,a2c,2024,384304,79.92
tuned,a2c,2024,389335,79.96
tuned,a2c,2024,394365,79.83999999999999
tuned,a2c,2024,399395,77.8
tuned,a2c,2024,404425,76.96
tuned,a2c,2024,409456,79.88
tuned,a2c,2024,414486,79.91999999999999
tuned,a2c,2024,419516,78.58
tuned,a2c,2024,424546,74.8977777777814
tuned,a2c,2024,429576,73.36118518518525
tuned,a2c,2024,434607,79.98
tuned,a2c,2024,439637,79.84
tuned,a2c,2024,444667,80.0
tuned,a2c,2024,449697,79.69999999999999
tuned,a2c,2024,454728,79.98
tuned,a2c,2024,459758,79.97999999999999
tuned,a2c,2024,464788,79.61999999999999
tuned,a2c,2024,469818,77.47999999999999
tuned,a2c,2024,474848,77.4
tuned,a2c,2024,479879,79.75999999999999
tuned,a2c,2024,484909,77.3013333333322
tuned,a2c,2024,489939,77.3
tuned,a2c,2024,494969,76.68088888888818
tuned,a2c,2024,500000,77.24000000000001
tuned,a2c,7,1718,54.34
tuned,a2c,7,6751,75.69454545454545
tuned,a2c,7,11784,77.79414141414141
tuned,a2c,7,16817,79.25999999999999
tuned,a2c,7,21850,79.60719696969697
tuned,a2c,7,26883,79.83999999999999
tuned,a2c,7,31916,79.89999999999999
tuned,a2c,7,36949,80.0
tuned,a2c,7,41982,79.98
tuned,a2c,7,47015,79.82
tuned,a2c,7,52048,80.0
tuned,a2c,7,57081,79.96
tuned,a2c,7,62114,79.88
tuned,a2c,7,67147,76.72
tuned,a2c,7,72180,67.5
tuned,a2c,7,77213,80.0
tuned,a2c,7,82246,79.98
tuned,a2c,7,87280,80.0
tuned,a2c,7,92313,79.94214876033057
tuned,a2c,7,97346,79.92
tuned,a2c,7,102379,79.82
tuned,a2c,7,107412,45.894000000000155
tuned,a2c,7,112445,79.79999999999998
tuned,a2c,7,117478,79.96
tuned,a2c,7,122511,79.4
tuned,a2c,7,127544,79.96
tuned,a2c,7,132577,77.58060606060432
tuned,a2c,7,137610,80.0
tuned,a2c,7,142643,79.84
tuned,a2c,7,147676,79.72
tuned,a2c,7,152709,79.96
tuned,a2c,7,157742,79.94
tuned,a2c,7,162775,79.98
tuned,a2c,7,167809,68.55529411764707
tuned,a2c,7,172842,80.0
tuned,a2c,7,177875,80.0
tuned,a2c,7,182908,80.0
tuned,a2c,7,187941,80.0
tuned,a2c,7,192974,74.42173737373737
tuned,a2c,7,198007,80.0
